number,roman,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
21,XXI,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
22,XXII,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
23,XXIII,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
24,XXIV,WARN,XXIV,1.0000,XXIX,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_224818
25,XXV,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
26,XXVI,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
27,XXVII,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
28,XXVIII,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
29,XXIX,WARN,XXIV,1.0000,XXIX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
30,XXX,WARN,XX,1.0000,XXX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
31,XXXI,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
32,XXXII,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
33,XXXIII,WARN,XII,1.0000,XIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
34,XXXIV,WARN,XXIV,1.0000,XXIX,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
35,XXXV,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
36,XXXVI,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
37,XXXVII,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
38,XXXVIII,WARN,XVII,1.0000,XVIII,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_224818
