Phase,Trial,CharID,Target,Recalled,Score,Success,MemorySize
P1-4,7,0x4f41,佁,佁,1.0000,True,1000
P1-4,8,0x4f41,佁,佁,1.0000,True,1000
P1-4,9,0x4f41,佁,佁,1.0000,True,1000
P1-4,0,0x4f42,佂,佂,1.0000,True,1000
P1-4,1,0x4f42,佂,佂,1.0000,True,1000
P1-4,2,0x4f42,佂,佂,1.0000,True,1000
P1-4,3,0x4f42,佂,佂,1.0000,True,1000
P1-4,4,0x4f42,佂,佂,1.0000,True,1000
P1-4,5,0x4f42,佂,佂,1.0000,True,1000
P1-4,6,0x4f42,佂,佂,1.0000,True,1000
P1-4,7,0x4f42,佂,佂,1.0000,True,1000
P1-4,8,0x4f42,佂,佂,1.0000,True,1000
P1-4,9,0x4f42,佂,佂,1.0000,True,1000
P1-4,0,0x4f43,佃,佃,1.0000,True,1000
P1-4,1,0x4f43,佃,佃,1.0000,True,1000
P1-4,2,0x4f43,佃,佃,1.0000,True,1000
P1-4,3,0x4f43,佃,佃,1.0000,True,1000
P1-4,4,0x4f43,佃,佃,1.0000,True,1000
P1-4,5,0x4f43,佃,佃,1.0000,True,1000
P1-4,6,0x4f43,佃,佃,1.0000,True,1000
P1-4,7,0x4f43,佃,佃,1.0000,True,1000
P1-4,8,0x4f43,佃,佃,1.0000,True,1000
P1-4,9,0x4f43,佃,佃,1.0000,True,1000
P1-4,0,0x4f44,佄,佄,1.0000,True,1000
P1-4,1,0x4f44,佄,佄,1.0000,True,1000
P1-4,2,0x4f44,佄,佄,1.0000,True,1000
P1-4,3,0x4f44,佄,佄,1.0000,True,1000
P1-4,4,0x4f44,佄,佄,1.0000,True,1000
P1-4,5,0x4f44,佄,佄,1.0000,True,1000
P1-4,6,0x4f44,佄,佄,1.0000,True,1000
P1-4,7,0x4f44,佄,佄,1.0000,True,1000
P1-4,8,0x4f44,佄,佄,1.0000,True,1000
P1-4,9,0x4f44,佄,佄,1.0000,True,1000
P1-4,0,0x4f45,佅,佅,1.0000,True,1000
P1-4,1,0x4f45,佅,佅,1.0000,True,1000
P1-4,2,0x4f45,佅,佅,1.0000,True,1000
P1-4,3,0x4f45,佅,佅,1.0000,True,1000
P1-4,4,0x4f45,佅,佅,1.0000,True,1000
P1-4,5,0x4f45,佅,佅,1.0000,True,1000
P1-4,6,0x4f45,佅,佅,1.0000,True,1000
P1-4,7,0x4f45,佅,佅,1.0000,True,1000
P1-4,8,0x4f45,佅,佅,1.0000,True,1000
P1-4,9,0x4f45,佅,佅,1.0000,True,1000
P1-4,0,0x4f46,但,但,1.0000,True,1000
P1-4,1,0x4f46,但,但,1.0000,True,1000
P1-4,2,0x4f46,但,但,1.0000,True,1000
P1-4,3,0x4f46,但,但,1.0000,True,1000
P1-4,4,0x4f46,但,但,1.0000,True,1000
P1-4,5,0x4f46,但,但,1.0000,True,1000
P1-4,6,0x4f46,但,但,1.0000,True,1000
P1-4,7,0x4f46,但,但,1.0000,True,1000
P1-4,8,0x4f46,但,但,1.0000,True,1000
P1-4,9,0x4f46,但,但,1.0000,True,1000
P1-4,0,0x4f47,佇,佇,1.0000,True,1000
P1-4,1,0x4f47,佇,佇,1.0000,True,1000
P1-4,2,0x4f47,佇,佇,1.0000,True,1000
P1-4,3,0x4f47,佇,佇,1.0000,True,1000
P1-4,4,0x4f47,佇,佇,1.0000,True,1000
P1-4,5,0x4f47,佇,佇,1.0000,True,1000
P1-4,6,0x4f47,佇,佇,1.0000,True,1000
P1-4,7,0x4f47,佇,佇,1.0000,True,1000
P1-4,8,0x4f47,佇,佇,1.0000,True,1000
P1-4,9,0x4f47,佇,佇,1.0000,True,1000
P1-4,0,0x4f48,佈,佈,1.0000,True,1000
P1-4,1,0x4f48,佈,佈,1.0000,True,1000
P1-4,2,0x4f48,佈,佈,1.0000,True,1000
P1-4,3,0x4f48,佈,佈,1.0000,True,1000
P1-4,4,0x4f48,佈,佈,1.0000,True,1000
P1-4,5,0x4f48,佈,佈,1.0000,True,1000
P1-4,6,0x4f48,佈,佈,1.0000,True,1000
P1-4,7,0x4f48,佈,佈,1.0000,True,1000
P1-4,8,0x4f48,佈,佈,1.0000,True,1000
P1-4,9,0x4f48,佈,佈,1.0000,True,1000
P1-4,0,0x4f49,佉,佉,1.0000,True,1000
P1-4,1,0x4f49,佉,佉,1.0000,True,1000
P1-4,2,0x4f49,佉,佉,1.0000,True,1000
P1-4,3,0x4f49,佉,佉,1.0000,True,1000
P1-4,4,0x4f49,佉,佉,1.0000,True,1000
P1-4,5,0x4f49,佉,佉,1.0000,True,1000
P1-4,6,0x4f49,佉,佉,1.0000,True,1000
P1-4,7,0x4f49,佉,佉,1.0000,True,1000
P1-4,8,0x4f49,佉,佉,1.0000,True,1000
P1-4,9,0x4f49,佉,佉,1.0000,True,1000
P1-4,0,0x4f4a,佊,佊,1.0000,True,1000
P1-4,1,0x4f4a,佊,佊,1.0000,True,1000
P1-4,2,0x4f4a,佊,佊,1.0000,True,1000
P1-4,3,0x4f4a,佊,佊,1.0000,True,1000
P1-4,4,0x4f4a,佊,佊,1.0000,True,1000
P1-4,5,0x4f4a,佊,佊,1.0000,True,1000
P1-4,6,0x4f4a,佊,佊,1.0000,True,1000
P1-4,7,0x4f4a,佊,佊,1.0000,True,1000
P1-4,8,0x4f4a,佊,佊,1.0000,True,1000
P1-4,9,0x4f4a,佊,佊,1.0000,True,1000
P1-4,0,0x4f4b,佋,佋,1.0000,True,1000
P1-4,1,0x4f4b,佋,佋,1.0000,True,1000
P1-4,2,0x4f4b,佋,佋,1.0000,True,1000
P1-4,3,0x4f4b,佋,佋,1.0000,True,1000
P1-4,4,0x4f4b,佋,佋,1.0000,True,1000
P1-4,5,0x4f4b,佋,佋,1.0000,True,1000
P1-4,6,0x4f4b,佋,佋,1.0000,True,1000
P1-4,7,0x4f4b,佋,佋,1.0000,True,1000
P1-4,8,0x4f4b,佋,佋,1.0000,True,1000
P1-4,9,0x4f4b,佋,佋,1.0000,True,1000
P1-4,0,0x4f4c,佌,佌,1.0000,True,1000
P1-4,1,0x4f4c,佌,佌,1.0000,True,1000
P1-4,2,0x4f4c,佌,佌,1.0000,True,1000
P1-4,3,0x4f4c,佌,佌,1.0000,True,1000
P1-4,4,0x4f4c,佌,佌,1.0000,True,1000
P1-4,5,0x4f4c,佌,佌,1.0000,True,1000
P1-4,6,0x4f4c,佌,佌,1.0000,True,1000
P1-4,7,0x4f4c,佌,佌,1.0000,True,1000
P1-4,8,0x4f4c,佌,佌,1.0000,True,1000
P1-4,9,0x4f4c,佌,佌,1.0000,True,1000
P1-4,0,0x4f4d,位,位,1.0000,True,1000
P1-4,1,0x4f4d,位,位,1.0000,True,1000
P1-4,2,0x4f4d,位,位,1.0000,True,1000
P1-4,3,0x4f4d,位,位,1.0000,True,1000
P1-4,4,0x4f4d,位,位,1.0000,True,1000
P1-4,5,0x4f4d,位,位,1.0000,True,1000
P1-4,6,0x4f4d,位,位,1.0000,True,1000
P1-4,7,0x4f4d,位,位,1.0000,True,1000
P1-4,8,0x4f4d,位,位,1.0000,True,1000
P1-4,9,0x4f4d,位,位,1.0000,True,1000
P1-4,0,0x4f4e,低,低,1.0000,True,1000
P1-4,1,0x4f4e,低,低,1.0000,True,1000
P1-4,2,0x4f4e,低,低,1.0000,True,1000
P1-4,3,0x4f4e,低,低,1.0000,True,1000
P1-4,4,0x4f4e,低,低,1.0000,True,1000
P1-4,5,0x4f4e,低,低,1.0000,True,1000
P1-4,6,0x4f4e,低,低,1.0000,True,1000
P1-4,7,0x4f4e,低,低,1.0000,True,1000
P1-4,8,0x4f4e,低,低,1.0000,True,1000
P1-4,9,0x4f4e,低,低,1.0000,True,1000
P1-4,0,0x4f4f,住,住,1.0000,True,1000
P1-4,1,0x4f4f,住,住,1.0000,True,1000
P1-4,2,0x4f4f,住,住,1.0000,True,1000
P1-4,3,0x4f4f,住,住,1.0000,True,1000
P1-4,4,0x4f4f,住,住,1.0000,True,1000
P1-4,5,0x4f4f,住,住,1.0000,True,1000
P1-4,6,0x4f4f,住,住,1.0000,True,1000
P1-4,7,0x4f4f,住,住,1.0000,True,1000
P1-4,8,0x4f4f,住,住,1.0000,True,1000
P1-4,9,0x4f4f,住,住,1.0000,True,1000
P1-4,0,0x4f50,佐,佐,1.0000,True,1000
P1-4,1,0x4f50,佐,佐,1.0000,True,1000
P1-4,2,0x4f50,佐,佐,1.0000,True,1000
P1-4,3,0x4f50,佐,佐,1.0000,True,1000
P1-4,4,0x4f50,佐,佐,1.0000,True,1000
P1-4,5,0x4f50,佐,佐,1.0000,True,1000
P1-4,6,0x4f50,佐,佐,1.0000,True,1000
P1-4,7,0x4f50,佐,佐,1.0000,True,1000
P1-4,8,0x4f50,佐,佐,1.0000,True,1000
P1-4,9,0x4f50,佐,佐,1.0000,True,1000
P1-4,0,0x4f51,佑,佑,1.0000,True,1000
P1-4,1,0x4f51,佑,佑,1.0000,True,1000
P1-4,2,0x4f51,佑,佑,1.0000,True,1000
P1-4,3,0x4f51,佑,佑,1.0000,True,1000
P1-4,4,0x4f51,佑,佑,1.0000,True,1000
P1-4,5,0x4f51,佑,佑,1.0000,True,1000
P1-4,6,0x4f51,佑,佑,1.0000,True,1000
P1-4,7,0x4f51,佑,佑,1.0000,True,1000
P1-4,8,0x4f51,佑,佑,1.0000,True,1000
P1-4,9,0x4f51,佑,佑,1.0000,True,1000
P1-4,0,0x4f52,佒,佒,1.0000,True,1000
P1-4,1,0x4f52,佒,佒,1.0000,True,1000
P1-4,2,0x4f52,佒,佒,1.0000,True,1000
P1-4,3,0x4f52,佒,佒,1.0000,True,1000
P1-4,4,0x4f52,佒,佒,1.0000,True,1000
P1-4,5,0x4f52,佒,佒,1.0000,True,1000
P1-4,6,0x4f52,佒,佒,1.0000,True,1000
P1-4,7,0x4f52,佒,佒,1.0000,True,1000
P1-4,8,0x4f52,佒,佒,1.0000,True,1000
P1-4,9,0x4f52,佒,佒,1.0000,True,1000
P1-4,0,0x4f53,体,体,1.0000,True,1000
P1-4,1,0x4f53,体,体,1.0000,True,1000
P1-4,2,0x4f53,体,体,1.0000,True,1000
P1-4,3,0x4f53,体,体,1.0000,True,1000
P1-4,4,0x4f53,体,体,1.0000,True,1000
P1-4,5,0x4f53,体,体,1.0000,True,1000
P1-4,6,0x4f53,体,体,1.0000,True,1000
P1-4,7,0x4f53,体,体,1.0000,True,1000
P1-4,8,0x4f53,体,体,1.0000,True,1000
P1-4,9,0x4f53,体,体,1.0000,True,1000
P1-4,0,0x4f54,佔,佔,1.0000,True,1000
P1-4,1,0x4f54,佔,佔,1.0000,True,1000
P1-4,2,0x4f54,佔,佔,1.0000,True,1000
P1-4,3,0x4f54,佔,佔,1.0000,True,1000
P1-4,4,0x4f54,佔,佔,1.0000,True,1000
P1-4,5,0x4f54,佔,佔,1.0000,True,1000
P1-4,6,0x4f54,佔,佔,1.0000,True,1000
P1-4,7,0x4f54,佔,佔,1.0000,True,1000
P1-4,8,0x4f54,佔,佔,1.0000,True,1000
P1-4,9,0x4f54,佔,佔,1.0000,True,1000
P1-4,0,0x4f55,何,何,1.0000,True,1000
P1-4,1,0x4f55,何,何,1.0000,True,1000
P1-4,2,0x4f55,何,何,1.0000,True,1000
P1-4,3,0x4f55,何,何,1.0000,True,1000
P1-4,4,0x4f55,何,何,1.0000,True,1000
P1-4,5,0x4f55,何,何,1.0000,True,1000
P1-4,6,0x4f55,何,何,1.0000,True,1000
P1-4,7,0x4f55,何,何,1.0000,True,1000
P1-4,8,0x4f55,何,何,1.0000,True,1000
P1-4,9,0x4f55,何,何,1.0000,True,1000
P1-4,0,0x4f56,佖,佖,1.0000,True,1000
P1-4,1,0x4f56,佖,佖,1.0000,True,1000
P1-4,2,0x4f56,佖,佖,1.0000,True,1000
P1-4,3,0x4f56,佖,佖,1.0000,True,1000
P1-4,4,0x4f56,佖,佖,1.0000,True,1000
P1-4,5,0x4f56,佖,佖,1.0000,True,1000
P1-4,6,0x4f56,佖,佖,1.0000,True,1000
P1-4,7,0x4f56,佖,佖,1.0000,True,1000
P1-4,8,0x4f56,佖,佖,1.0000,True,1000
P1-4,9,0x4f56,佖,佖,1.0000,True,1000
P1-4,0,0x4f57,佗,佗,1.0000,True,1000
P1-4,1,0x4f57,佗,佗,1.0000,True,1000
P1-4,2,0x4f57,佗,佗,1.0000,True,1000
P1-4,3,0x4f57,佗,佗,1.0000,True,1000
